nome	uf	lat	lon	pop2019	areakm2	litoral
Canápolis	BA	-13.0965921311	-44.2035599498	9711	466.250641892254	0
Canarana	BA	-11.7537766129	-41.6973735183	26176	593.504926213243	0
Canavieiras	BA	-15.6514212382	-39.1090587222	31099	1386.62736583365	1
Candeal	BA	-11.8717154468	-39.1912073263	8258	463.448580228827	0
Candeias	BA	-12.6783719027	-38.4812005724	87076	263.276148447366	1
Candiba	BA	-14.4042019304	-42.8317402001	14319	441.711933299077	0
Cândido Sales	BA	-15.355083157	-41.2694954953	25189	1200.98611145748	0
Cansanção	BA	-10.7309652064	-39.474246732	34834	1389.59437886677	0
Canudos	BA	-10.0653568698	-38.9934154972	16668	3353.19160192515	0
Capela do Alto Alegre	BA	-11.6851044617	-39.8184500635	11637	673.350271930984	0
Capim Grosso	BA	-11.3274521623	-39.9773021987	30662	346.404291342384	0
Caraíbas	BA	-14.6255704173	-41.283715737	8951	827.184008407128	0
Caravelas	BA	-17.6596363671	-39.6818663589	22016	2482.07377917735	1
Cardeal da Silva	BA	-12.0367999059	-37.9375358829	9295	269.985791991054	1
Carinhanha	BA	-14.0209290943	-43.8485050707	29018	2565.08986998565	0
Casa Nova	BA	-9.2402514641	-41.3364820499	71969	9913.60606917094	0
Castro Alves	BA	-12.7321630707	-39.3641185245	26264	739.990139106304	1
Catolândia	BA	-12.273133046	-44.7016460018	3577	728.271916164174	0
Catu	BA	-12.3329748897	-38.4161303594	54704	435.747200390178	1
Caturama	BA	-13.2334624209	-42.3194172564	9329	731.582652812135	0
Central	BA	-11.1549434802	-42.1047393946	17266	616.212496361683	0
Chorrochó	BA	-9.2717071196	-39.1891102394	11177	3131.55875061435	0
Cícero Dantas	BA	-10.5138595955	-38.4525412087	32515	904.792127432074	0
Cipó	BA	-11.1132378545	-38.5209416709	17300	162.966977793906	0
Coaraci	BA	-14.6318269336	-39.5931909743	16993	284.774890357318	1
Cocos	BA	-14.4969254621	-45.2199434727	18777	10230.8258751209	0
Conceição da Feira	BA	-12.5072743944	-38.9986829726	22581	169.793995078437	1
Conceição do Almeida	BA	-12.856052526	-39.2419351078	17247	301.687327906825	1
Conceição do Coité	BA	-11.5195876175	-39.2570426657	66612	1057.52774987287	0
Conceição do Jacuípe	BA	-12.3378653062	-38.7400519654	33153	122.751086829349	1
Conde	BA	-11.8267159365	-37.680540434	25837	1015.85225804904	1
Condeúba	BA	-14.9214401754	-42.0510368426	17247	1378.708090693	0
Contendas do Sincorá	BA	-13.8383460474	-41.0936516708	4066	1004.89391269847	0
Coração de Maria	BA	-12.2138904554	-38.7868520952	22605	363.522351585581	1
Cordeiros	BA	-15.0409705424	-41.9082445632	8614	535.776900379846	0
Coribe	BA	-13.8147757232	-44.3762295847	14194	2688.97189054754	0
Coronel João Sá	BA	-10.2644560638	-37.9593829045	15895	928.906727842362	0
Correntina	BA	-13.4670289504	-45.3949924474	32137	11589.0137117864	0
Cotegipe	BA	-11.711115463	-44.3279958749	13782	4335.90620833644	0
Cravolândia	BA	-13.4240034432	-39.7844623817	5349	189.256615983046	1
Crisópolis	BA	-11.507677462	-38.1674491321	21103	637.567080172072	1
Cristópolis	BA	-12.193994924	-44.2588454171	13910	1066.12809550158	0
Cruz das Almas	BA	-12.6845342348	-39.1193860893	63239	151.78799880062	1
Curaçá	BA	-9.2192887285	-39.6474140193	34700	6314.10801749194	0
Dário Meira	BA	-14.4049810675	-39.9880064641	10710	428.050059387145	1
Dias d'Ávila	BA	-12.6014550368	-38.2826564947	81089	193.05014584588	1
Dom Basílio	BA	-13.8562829862	-41.7121031021	12199	705.529522310401	0
Dom Macedo Costa	BA	-12.9115090457	-39.1699039511	4058	88.2396252195958	1
Elísio Medrado	BA	-12.9348723905	-39.5263354229	8122	186.229976535396	1
Encruzilhada	BA	-15.5949118081	-40.9999126446	17006	1943.35200123395	0
Entre Rios	BA	-12.0721868482	-38.0450413296	41780	1276.05018624539	1
Érico Cardoso	BA	-13.4002347288	-42.0619990458	10610	785.810447263132	0
Esplanada	BA	-11.9355933901	-37.8878066386	37237	1364.59962369089	1
Euclides da Cunha	BA	-10.4659623958	-38.9158095964	60585	2061.10142104656	0
Eunápolis	BA	-16.2987517237	-39.6061186104	113380	1478.30406527376	1
Fátima	BA	-10.593622817	-38.2013482898	17890	377.10304323958	0
Feira da Mata	BA	-14.131739899	-44.2322190909	5665	1190.81709103456	0
Feira de Santana	BA	-12.1897811917	-39.03726719	614872	1394.53658717526	1
Filadélfia	BA	-10.7219356833	-40.1434467233	16377	589.944519221944	0
Firmino Alves	BA	-14.9308199532	-39.911313175	5617	178.415016372131	1
Floresta Azul	BA	-14.8418515081	-39.7174699044	10629	332.730411693182	1
Formosa do Rio Preto	BA	-11.0167131371	-45.7556466904	25591	16019.537081657	0
Gandu	BA	-13.7886853829	-39.4826912153	32403	238.471049776663	1
Gavião	BA	-11.508572167	-39.7512498811	4463	383.691593531885	0
Gentio do Ouro	BA	-11.4050929711	-42.5980862711	11233	3774.88606229813	0
Glória	BA	-9.1941595329	-38.416551549	15221	1315.81827589978	0
Gongogi	BA	-14.2805892196	-39.5818999058	7128	209.805066533819	1
Governador Mangabeira	BA	-12.5830041051	-39.0719704232	20722	110.768061591676	1
Guajeru	BA	-14.5604381887	-41.9811534837	6937	929.468335108212	0
Guanambi	BA	-14.2039568521	-42.8200359431	84481	1296.17226769493	0
Guaratinga	BA	-16.5531908281	-39.9376889409	20843	2264.74865261891	1
Heliópolis	BA	-10.7467739441	-38.3142264756	13031	355.167381663752	0
Iaçu	BA	-12.8134963805	-40.1123230585	24305	2430.04932354402	0
Ibiassucê	BA	-14.2915312988	-42.3053788098	9224	493.546504751776	0
Ibicaraí	BA	-14.8487684886	-39.568453281	21689	239.618809641042	1
Ibicoara	BA	-13.3832965823	-41.3376529023	19571	873.656259829518	0
Ibicuí	BA	-14.6418944517	-39.8637853215	16198	1179.93490360969	1
Ibipeba	BA	-11.5728044876	-42.1819635294	18211	1414.53590076456	0
Ibipitanga	BA	-12.8593465614	-42.3596933082	14902	974.651641781393	0
Ibiquera	BA	-12.61826196	-40.8599320355	4044	1014.54208858856	0
Ibirapitanga	BA	-14.0607042251	-39.4356961179	23375	491.00043216164	1
Ibirapuã	BA	-17.743013706	-40.0127984758	8637	796.912944631915	1
Ibirataia	BA	-13.9759811537	-39.6261674891	15312	330.038470024772	1
Ibitiara	BA	-12.5758853165	-42.2826942224	16339	1873.81399670637	0
Ibititá	BA	-11.5764543684	-41.9168106236	17113	637.939251298401	0
