nome	lat	lon	pop	X	UF
Serrinha	-11.65	-39	49079	2.13	BA
Nazaré	-13.033333	-39	25604	1.65	BA
Entre Rios	-11.933333	-38.083333	27406	1.82	BA
Belmonte	-15.85	-38.9	9806	1.33	BA
Riachão do Jacuípe	-11.8	-39.35	16911	1.55	BA
Cícero Dantas	-10.6	-38.383333	18317	1.59	BA
Uauá	-9.833333	-39.466667	11425	1.95	BA
Euclides da Cunha	-10.516667	-39.016667	29739	1.94	BA
Ibicaraí	-14.85	-39.6	19575	1.52	BA
Maragogipe	-12.766667	-38.916667	20921	1.5	BA
Ubaitaba	-14.3	-39.333333	28376	1.82	BA
Buerarema	-14.95	-39.316667	16002	1.32	BA
Iaçu	-12.75	-40.216667	22665	1.56	BA
Itororó	-15.116667	-40.1	17325	1.44	BA
São Desidério	-12.366667	-44.966667	7295	1.33	BA
São Felipe	-14.816667	-41.383333	9574	1.73	BA
Itamaraju	-17.066667	-39.533333	47630	2.23	BA
Xique-Xique	-10.833333	-42.733333	35435	2.27	BA
Feira de Santana	-12.25	-38.95	481926	2.77	BA
Catu	-12.35	-38.383333	39933	1.64	BA
Rio Real	-11.466667	-37.933333	24006	1.67	BA
Jaguaquara	-13.533333	-39.966667	41499	1.84	BA
Cafarnaum	-11.7	-41.466667	12940	1.45	BA
Irará	-12.033333	-38.766667	9099	1.45	BA
Itanhém	-17.15	-40.333333	13517	1.41	BA
Jequié	-13.85	-40.083333	127479	2.65	BA
Itapicuru	-11.316667	-38.25	4994	0.95	BA
Madre de Deus	-12.733333	-38.616667	14887	1.1	BA
Laje	-10.183333	-40.966667	4708	1.64	BA
Uruçuca	-14.583333	-39.266667	24414	1.54	BA
Irecê	-11.3	-41.866667	63628	2.76	BA
Paramirim	-13.433333	-42.25	7421	1.62	BA
Conde	-11.816667	-37.616667	15565	1.63	BA
Coaraci	-14.633333	-39.533333	32345	1.76	BA
Ubatã	-14.2	-39.516667	15605	1.37	BA
Paratinga	-12.7	-43.166667	10262	1.73	BA
América Dourada	-11.466667	-41.433333	14018	1.75	BA
Riachão das Neves	-11.766667	-44.933333	11236	1.61	BA
Valente	-11.566667	-39.45	12591	1.34	BA
Iguaí	-14.75	-40.066667	14218	1.65	BA
Mundo Novo	-11.866667	-40.466667	11912	1.29	BA
Cruz das Almas	-12.666667	-39.1	47846	1.88	BA
