alexandrita,-19.7,-50.45
alexrandina,-8.1833333,-39.7
alfenas,-21.4333333,-45.95
alferes,-5.95,-40.1
alferez,-5.95,-40.1
alfeu,-28.95,-52.6333333
alfonso bezerra,-5.4980556,-36.5091667
alfredo,-17.0666667,-40.8166667
alfredo brener,-28.5666667,-53.1333333
alfredo brenner,-28.5666667,-53.1333333
alfredo castilho,-20.8666667,-51.4833333
alfredo chaves,-20.6333333,-40.75
alfredo chaves,-28.95,-51.55
alfredo chavez,-20.6333333,-40.75
alfredo dantas,-7.1166667,-48.35
alfredo dutra,-4.3833333,-38.8833333
alfredo guedes,-22.5833333,-48.7166667
alfredo manso,-21.45,-46.1333333
alfredo marcondes,-21.95,-51.4166667
alfredo silveira,-30.35,-52.0833333
alfredo teixeira,-20.2333333,-40.45
alfredo wagner,-27.7,-49.3333333
algeria,-15.5,-42.0666667
algodao (1),-7.3166667,-36.2333333
algodao (2),-7.8833333,-36.1666667
algodao,-12.4166667,-40.5833333
algodao,-3.4333333,-40.4166667
algodao,-6.9,-36.0
algodao,-8.3166667,-37.35
algodoal,-0.6,-47.5833333
algodoes,-10.2,-41.95
algodoes,-3.5166667,-41.4
algodoes,-7.0333333,-42.6833333
algodoes,-7.6666667,-39.6
algoinhas,-8.4833333,-36.7833333
alhandra,-7.4333333,-34.9
alho,-16.9333333,-39.7166667
alianca,-2.9172222,-69.6855556
alianca,-12.4666667,-38.6833333
alianca,-4.7333333,-38.5166667
alianca,-19.05,-55.2666667
alianca,-9.1,-60.5833333
alianca,-19.6,-43.4333333
alianca,-22.2766667,-43.53
alianca,-8.6166667,-63.5333333
alianca,-27.2,-48.9166667
alianca,-20.5,-47.3166667
alianca,-7.5833333,-35.2166667
alianca do tocantins,-11.3375,-48.8502778
aliatar,-28.7,-49.3
alice,3.65,-51.9833333
alipio,-21.0,-47.2166667
alipio paca,-17.15,-40.65
